Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSMUSG00000002768	Mea1	-1.990	0.610
ENSMUSG00000038538	Ubn2	-3.458	0.608
ENSMUSG00000042520	Ubap2l	-2.407	0.598
ENSMUSG00000030738	Eif3c	-1.884	0.595
ENSMUSG00000024269	Tpgs2	-1.884	0.595
ENSMUSG00000024921	Smarca2	-2.532	0.592
ENSMUSG00000037012	Hk1	-13.630	0.592
ENSMUSG00000052221	Ppp1r36	-1.982	0.584
ENSMUSG00000048410	Zfp407	-1.717	0.581
ENSMUSG00000025907	Rb1cc1	-1.831	0.575
ENSMUSG00000090457	4930571K23Rik	-5.918	0.568
ENSMUSG00000023930	Crisp2	-2.465	0.568
ENSMUSG00000061032	Rrp1	-1.665	0.560
ENSMUSG00000003814	Calr	-2.218	0.556
ENSMUSG00000032407	U2surp	-1.649	0.554
ENSMUSG00000033826	Dnah8	-4.128	0.547
ENSMUSG00000030655	Smg1	-4.025	0.539
ENSMUSG00000048827	Pkd1l3	-2.546	0.525
ENSMUSG00000003847	Nfat5	-2.093	0.524
ENSMUSG00000058709	Egln2	-2.143	0.522
ENSMUSG00000002052	Supt6	-3.708	0.521
ENSMUSG00000031545	Gpat4	-8.841	0.516
ENSMUSG00000020315	Sptbn1	-2.047	0.501
ENSMUSG00000018428	Akap1	-1.982	0.497
ENSMUSG00000037646	Vps13b	-1.861	0.470
ENSMUSG00000014602	Kif1a	-1.775	0.469
ENSMUSG00000044468	Tent5c	-2.567	0.469
ENSMUSG00000029705	Cux1	-1.707	0.458
ENSMUSG00000049571	Cfap46	-1.550	0.455
ENSMUSG00000034751	Mast4	-1.749	0.452
ENSMUSG00000055024	Ep300	-1.589	0.441
ENSMUSG00000027227	Sord	-3.135	0.438
ENSMUSG00000054909	Wbscr25	-4.207	0.429
ENSMUSG00000038057	Dbil5	-1.802	0.423
ENSMUSG00000004535	Tax1bp1	-1.784	0.415
ENSMUSG00000029134	Plb1	-2.097	0.387
ENSMUSG00000059854	Hydin	-1.921	0.377
ENSMUSG00000029155	Spata18	-2.113	0.356
ENSMUSG00000001829	Clpb	-1.940	0.330
ENSMUSG00000101609	Kcnq1ot1	-1.511	0.265
ENSMUSG00000065037	Rn7sk	-2.465	0.136
ENSMUSG00000102349	Gm37376	-2.300	-0.150
ENSMUSG00000027422	Rrbp1	-1.783	-0.399
ENSMUSG00000057738	Sptan1	-1.519	-0.414
ENSMUSG00000028760	Eif4g3	-1.574	-0.423
ENSMUSG00000021134	Srsf5	-3.390	-0.438
ENSMUSG00000029580	Actb	-2.160	-0.458
ENSMUSG00000078671	Chd2	-1.959	-0.469
ENSMUSG00000040407	Akap9	-2.601	-0.480
ENSMUSG00000037608	Bclaf1	-1.539	-0.484
ENSMUSG00000007850	Hnrnph1	-1.918	-0.490
ENSMUSG00000055436	Srsf11	-1.700	-0.494
ENSMUSG00000063870	Chd4	-2.859	-0.523
ENSMUSG00000040761	Spen	-1.711	-0.544
ENSMUSG00000032637	Atxn2l	-1.788	-0.553
ENSMUSG00000066406	Akap13	-1.865	-0.562
ENSMUSG00000034994	Eef2	-2.144	-0.566
ENSMUSG00000031229	Atrx	-3.622	-0.571
ENSMUSG00000034088	Hdlbp	-2.057	-0.580
ENSMUSG00000021823	Vcl	-1.515	-0.584
ENSMUSG00000021843	Ktn1	-1.993	-0.588
ENSMUSG00000044791	Setd2	-2.251	-0.605
ENSMUSG00000028141	Oaz3	-4.755	-0.607
ENSMUSG00000005533	Igf1r	-2.013	-0.615
ENSMUSG00000036427	Gpi1	-3.189	-0.617
ENSMUSG00000036606	Plxnb2	-2.334	-0.619
ENSMUSG00000029478	Ncor2	-2.418	-0.620
ENSMUSG00000044084	Spem2	-2.916	-0.621
ENSMUSG00000036499	Eea1	-1.623	-0.622
ENSMUSG00000054823	Nsd3	-1.623	-0.622
ENSMUSG00000028820	Sfpq	-4.371	-0.626
ENSMUSG00000039967	Zfp292	-2.731	-0.630
ENSMUSG00000042726	Trafd1	-1.604	-0.635
ENSMUSG00000070639	Lrrc8b	-6.200	-0.642
ENSMUSG00000112657	BC106175	-4.838	-0.649
ENSMUSG00000017631	Abr	-1.990	-0.650
ENSMUSG00000038642	Ctss	-1.842	-0.655
ENSMUSG00000037697	Ddhd1	-2.534	-0.655
ENSMUSG00000034647	Ankrd12	-3.970	-0.656
ENSMUSG00000040225	Prrc2c	-4.086	-0.657
ENSMUSG00000052512	Nav2	-3.054	-0.668
ENSMUSG00000024456	Diaph1	-2.051	-0.674
ENSMUSG00000055322	Tns1	-3.000	-0.679
ENSMUSG00000021998	Lcp1	-2.023	-0.689
ENSMUSG00000020640	Itsn2	-2.261	-0.691
ENSMUSG00000026425	Srgap2	-1.728	-0.697
ENSMUSG00000033671	Cep350	-3.065	-0.698
ENSMUSG00000053754	Chd8	-2.261	-0.701
ENSMUSG00000066306	Numa1	-1.849	-0.704
ENSMUSG00000036395	Glb1l2	-1.824	-0.711
ENSMUSG00000070733	Fryl	-1.971	-0.711
ENSMUSG00000040481	Bptf	-2.733	-0.712
ENSMUSG00000037475	Thoc2	-2.473	-0.716
ENSMUSG00000056050	Mia3	-2.091	-0.717
ENSMUSG00000035284	Vps13c	-1.946	-0.717
ENSMUSG00000054387	Mdm4	-1.551	-0.718
ENSMUSG00000031207	Msn	-1.551	-0.718
ENSMUSG00000061288	Taok3	-2.067	-0.723
ENSMUSG00000022565	Plec	-4.504	-0.723
ENSMUSG00000020385	Clk4	-1.675	-0.726
ENSMUSG00000071054	Safb	-1.675	-0.726
ENSMUSG00000010277	2610507B11Rik	-1.799	-0.732
ENSMUSG00000028059	Arhgef2	-2.165	-0.735
ENSMUSG00000020681	Ace	-1.526	-0.746
ENSMUSG00000028423	Nfx1	-1.526	-0.746
ENSMUSG00000047735	Samd9l	-1.899	-0.747
ENSMUSG00000030695	Aldoa	-2.385	-0.751
ENSMUSG00000003123	Lipe	-2.143	-0.756
ENSMUSG00000001424	Snd1	-1.775	-0.757
ENSMUSG00000035569	Ankrd11	-5.414	-0.757
ENSMUSG00000024163	Mapk8ip3	-3.351	-0.758
ENSMUSG00000002748	Baz1b	-2.743	-0.761
ENSMUSG00000032322	Pstpip1	-2.001	-0.761
ENSMUSG00000033228	Scaf11	-1.629	-0.764
ENSMUSG00000001506	Col1a1	-2.123	-0.765
ENSMUSG00000024006	Stk38	-1.754	-0.768
ENSMUSG00000004099	Dnmt1	-2.456	-0.770
ENSMUSG00000036333	Kidins220	-2.365	-0.771
ENSMUSG00000040990	Sh3kbp1	-1.608	-0.778
ENSMUSG00000045962	Wnk1	-3.315	-0.778
ENSMUSG00000041164	Zmiz2	-1.734	-0.781
ENSMUSG00000079487	Med12	-2.468	-0.783
ENSMUSG00000029004	Kmt2e	-2.798	-0.798
ENSMUSG00000048696	Mex3d	-1.841	-0.799
ENSMUSG00000026773	Pfkfb3	-1.841	-0.799
ENSMUSG00000031328	Flna	-8.564	-0.801
ENSMUSG00000031958	Ldhd	-2.452	-0.805
ENSMUSG00000015568	Lpl	-2.901	-0.808
ENSMUSG00000032525	Nktr	-6.648	-0.810
ENSMUSG00000020220	Vps13d	-3.606	-0.811
ENSMUSG00000071659	Hnrnpul2	-1.590	-0.815
ENSMUSG00000041890	Git2	-1.717	-0.816
ENSMUSG00000018474	Chd3	-2.543	-0.817
ENSMUSG00000032740	Ccdc88a	-3.305	-0.818
ENSMUSG00000034243	Golgb1	-7.567	-0.819
ENSMUSG00000019726	Lyst	-3.892	-0.826
ENSMUSG00000022822	Abcc5	-2.528	-0.829
ENSMUSG00000053470	Kdm3a	-2.058	-0.831
ENSMUSG00000022961	Son	-6.314	-0.831
ENSMUSG00000025372	Baiap2	-2.074	-0.832
ENSMUSG00000017421	Zfp207	-1.951	-0.833
ENSMUSG00000047417	Rexo1	-1.951	-0.833
ENSMUSG00000061755	Bod1l	-3.579	-0.835
ENSMUSG00000034621	Gpatch8	-1.702	-0.836
ENSMUSG00000022119	Rbm26	-2.407	-0.843
ENSMUSG00000048865	Arhgap30	-1.940	-0.852
ENSMUSG00000021686	Ap3b1	-1.940	-0.852
ENSMUSG00000043940	Wdfy3	-2.394	-0.857
ENSMUSG00000025261	Huwe1	-5.605	-0.858
ENSMUSG00000007411	Mark3	-1.576	-0.859
ENSMUSG00000038708	Golga4	-6.781	-0.865
ENSMUSG00000022377	Asap1	-2.029	-0.866
ENSMUSG00000026672	Optn	-1.795	-0.871
ENSMUSG00000037519	Ppfia1	-2.504	-0.871
ENSMUSG00000037210	Fam193a	-3.666	-0.871
ENSMUSG00000038910	Plcl2	-1.543	-0.881
ENSMUSG00000064210	Ano6	-2.029	-0.883
ENSMUSG00000018707	Dync1h1	-7.816	-0.886
ENSMUSG00000063450	Syne2	-7.850	-0.893
ENSMUSG00000040152	Thbs1	-2.615	-0.897
ENSMUSG00000022884	Eif4a2	-2.496	-0.902
ENSMUSG00000026193	Fn1	-3.540	-0.907
ENSMUSG00000004040	Stat3	-2.256	-0.915
ENSMUSG00000006005	Tpr	-6.059	-0.916
ENSMUSG00000052296	Ppp6r1	-2.492	-0.923
ENSMUSG00000018501	Ncor1	-5.174	-0.927
ENSMUSG00000027881	Prpf38b	-3.959	-0.935
ENSMUSG00000038179	Slamf7	-1.648	-0.937
ENSMUSG00000009418	Nav1	-1.892	-0.945
ENSMUSG00000005417	Mprip	-3.884	-0.946
ENSMUSG00000024853	Sf3b2	-2.609	-0.952
ENSMUSG00000031075	Ano1	-1.522	-0.952
ENSMUSG00000051391	Ywhag	-1.522	-0.952
ENSMUSG00000031153	Gripap1	-3.426	-0.956
ENSMUSG00000050721	Plekho2	-3.658	-0.959
ENSMUSG00000001632	Brpf1	-1.648	-0.960
ENSMUSG00000032187	Smarca4	-2.491	-0.962
ENSMUSG00000033487	Fndc3a	-2.491	-0.962
ENSMUSG00000050640	Tmem150c	-2.491	-0.962
ENSMUSG00000028248	Pnisr	-8.541	-0.963
ENSMUSG00000078515	Ddi2	-1.892	-0.966
ENSMUSG00000094410	Gm38394	-3.545	-0.966
ENSMUSG00000037331	Larp1	-3.198	-0.973
ENSMUSG00000031351	Zfp185	-3.198	-0.973
ENSMUSG00000061436	Hipk2	-2.612	-0.978
ENSMUSG00000071669	Snx29	-2.612	-0.978
ENSMUSG00000066036	Ubr4	-6.801	-0.978
ENSMUSG00000039621	Prex1	-2.849	-0.980
ENSMUSG00000020817	Rabep1	-1.769	-0.983
ENSMUSG00000031295	Phka2	-2.013	-0.986
ENSMUSG00000036323	Srp72	-2.013	-0.986
ENSMUSG00000021910	Nisch	-4.768	-0.987
ENSMUSG00000024104	Washc2	-3.855	-1.000
ENSMUSG00000073902	Gm1966	-1.893	-1.005
ENSMUSG00000014195	Dnajc7	-2.138	-1.006
ENSMUSG00000032382	Snx1	-2.380	-1.007
ENSMUSG00000005198	Polr2a	-2.734	-1.008
ENSMUSG00000017832	Hspb9	-5.130	-1.026
ENSMUSG00000032481	Smarcc1	-2.264	-1.026
ENSMUSG00000054404	Slfn5	-2.020	-1.028
ENSMUSG00000020250	Txnrd1	-1.773	-1.030
ENSMUSG00000051506	Wdfy4	-1.773	-1.030
ENSMUSG00000029068	Ccnl2	-2.985	-1.038
ENSMUSG00000030102	Itpr1	-2.985	-1.038
ENSMUSG00000007891	Ctsd	-2.506	-1.042
ENSMUSG00000024335	Brd2	-3.286	-1.047
ENSMUSG00000028327	Stra6l	-2.020	-1.050
ENSMUSG00000020719	Ddx5	-15.734	-1.051
ENSMUSG00000039852	Rere	-4.577	-1.056
ENSMUSG00000020827	Mink1	-3.175	-1.063
ENSMUSG00000006676	Usp19	-2.393	-1.065
ENSMUSG00000070780	Rbm47	-2.393	-1.065
ENSMUSG00000020901	Pik3r5	-2.149	-1.071
ENSMUSG00000023992	Trem2	-2.149	-1.071
ENSMUSG00000048118	Arid4a	-4.239	-1.072
ENSMUSG00000042625	Safb2	-5.062	-1.072
ENSMUSG00000025060	Slk	-5.347	-1.074
ENSMUSG00000035047	Kri1	-1.903	-1.079
ENSMUSG00000023118	Sympk	-1.903	-1.079
ENSMUSG00000032232	Cgnl1	-1.903	-1.079
ENSMUSG00000021676	Iqgap2	-2.524	-1.084
ENSMUSG00000022488	Nckap1l	-5.829	-1.087
ENSMUSG00000022443	Myh9	-10.798	-1.089
ENSMUSG00000030530	Furin	-1.653	-1.090
ENSMUSG00000074063	Osgin1	-3.899	-1.091
ENSMUSG00000022387	Brd1	-2.281	-1.092
ENSMUSG00000027423	Snx5	-3.137	-1.102
ENSMUSG00000039477	Tnrc18	-3.137	-1.102
ENSMUSG00000030789	Itgax	-3.137	-1.102
ENSMUSG00000000555	Itga5	-2.035	-1.103
ENSMUSG00000018398	Sept8	-2.035	-1.103
ENSMUSG00000019947	Arid5b	-3.322	-1.109
ENSMUSG00000001270	Ckb	-2.898	-1.111
ENSMUSG00000023805	Synj2	-2.415	-1.113
ENSMUSG00000032217	Rnf111	-2.415	-1.113
ENSMUSG00000027951	Adar	-2.415	-1.113
ENSMUSG00000019820	Utrn	-5.267	-1.114
ENSMUSG00000022558	Mroh1	-4.987	-1.116
ENSMUSG00000034543	Morc2a	-2.658	-1.121
ENSMUSG00000033124	Atg9a	-2.658	-1.121
ENSMUSG00000039671	Zmynd8	-4.290	-1.124
ENSMUSG00000076433	Cep295nl	-2.171	-1.127
ENSMUSG00000026872	Zeb2	-10.709	-1.131
ENSMUSG00000037876	Jmjd1c	-6.890	-1.132
ENSMUSG00000005142	Man2b1	-3.453	-1.137
ENSMUSG00000070738	Dgkd	-2.794	-1.140
ENSMUSG00000028759	Hp1bp3	-3.170	-1.144
ENSMUSG00000014498	Ankrd52	-1.923	-1.145
ENSMUSG00000021192	Golga5	-2.309	-1.150
ENSMUSG00000036918	Ttc7	-3.956	-1.153
ENSMUSG00000099398	Ms4a14	-5.559	-1.154
ENSMUSG00000021266	Wars	-2.309	-1.173
ENSMUSG00000009585	Apobec3	-2.210	-1.174
ENSMUSG00000032612	Usp4	-2.692	-1.175
ENSMUSG00000013236	Ptprs	-2.692	-1.175
ENSMUSG00000037965	Zc3h7a	-3.721	-1.177
ENSMUSG00000027940	Tpm3	-4.092	-1.178
ENSMUSG00000009079	Ewsr1	-5.232	-1.179
ENSMUSG00000003226	Ranbp2	-8.368	-1.186
ENSMUSG00000045482	Trrap	-6.192	-1.188
ENSMUSG00000039205	Ciz1	-3.858	-1.191
ENSMUSG00000039844	Rapgef1	-3.623	-1.191
ENSMUSG00000027639	Samhd1	-3.249	-1.192
ENSMUSG00000031835	Mbtps1	-2.063	-1.198
ENSMUSG00000024236	Svil	-5.002	-1.199
ENSMUSG00000074435	Smcp	-22.479	-1.202
ENSMUSG00000031930	Wwp2	-3.996	-1.204
ENSMUSG00000018909	Arrb1	-3.387	-1.208
ENSMUSG00000038241	Cep250	-3.011	-1.211
ENSMUSG00000026480	Ncf2	-2.833	-1.214
ENSMUSG00000021279	Cdc42bpb	-4.368	-1.214
ENSMUSG00000001855	Nup214	-2.593	-1.218
ENSMUSG00000010097	Nxf1	-4.907	-1.220
ENSMUSG00000028809	Srrm1	-7.865	-1.223
ENSMUSG00000020867	Spata20	-3.151	-1.228
ENSMUSG00000041836	Ptpre	-3.903	-1.234
ENSMUSG00000031314	Taf1	-3.903	-1.234
ENSMUSG00000024002	Brd4	-4.649	-1.238
ENSMUSG00000024965	Fermt3	-2.739	-1.240
ENSMUSG00000020196	Cabin1	-2.913	-1.252
ENSMUSG00000026222	Sp100	-2.913	-1.252
ENSMUSG00000059456	Ptk2b	-6.063	-1.252
ENSMUSG00000019970	Sgk1	-3.670	-1.254
ENSMUSG00000030256	Bhlhe41	-2.320	-1.261
ENSMUSG00000021190	Lgmn	-5.325	-1.261
ENSMUSG00000020300	Cpeb4	-5.325	-1.261
ENSMUSG00000019505	Ubb	-2.739	-1.262
ENSMUSG00000028649	Macf1	-16.261	-1.267
ENSMUSG00000057672	Pkn1	-4.563	-1.268
ENSMUSG00000002885	Adgre5	-3.056	-1.271
ENSMUSG00000030761	Myo7a	-3.056	-1.271
ENSMUSG00000024949	Sf1	-5.467	-1.271
ENSMUSG00000078517	Emc1	-2.500	-1.274
ENSMUSG00000068917	Clk2	-4.189	-1.275
ENSMUSG00000021288	Klc1	-5.240	-1.277
ENSMUSG00000011158	Brf1	-3.056	-1.290
ENSMUSG00000002028	Kmt2a	-6.648	-1.290
ENSMUSG00000004207	Psap	-22.616	-1.294
ENSMUSG00000066151	Fkbp15	-5.012	-1.296
ENSMUSG00000023809	Rps6ka2	-2.500	-1.299
ENSMUSG00000049323	Smcr8	-2.500	-1.299
ENSMUSG00000025283	Sat1	-6.269	-1.303
ENSMUSG00000052459	Atp6v1a	-2.819	-1.304
ENSMUSG00000058325	Dock1	-2.819	-1.304
ENSMUSG00000098178	Gm42418	-76.914	-1.308
ENSMUSG00000036155	Mgat5	-3.201	-1.308
ENSMUSG00000032560	Dnajc13	-3.728	-1.311
ENSMUSG00000048154	Kmt2d	-9.832	-1.312
ENSMUSG00000030805	Stx4a	-2.652	-1.323
ENSMUSG00000029364	Wsb2	-2.652	-1.323
ENSMUSG00000038342	Mlxip	-2.652	-1.323
ENSMUSG00000000078	Klf6	-3.349	-1.326
ENSMUSG00000021939	Ctsb	-9.789	-1.327
ENSMUSG00000005442	Cic	-4.255	-1.328
ENSMUSG00000006276	Eps15l1	-4.255	-1.328
ENSMUSG00000025885	Myo5b	-6.859	-1.331
ENSMUSG00000003435	Supt5	-4.405	-1.342
ENSMUSG00000024527	Afg3l2	-3.498	-1.344
ENSMUSG00000048612	Myof	-10.892	-1.347
ENSMUSG00000061232	H2-K1	-4.405	-1.356
ENSMUSG00000034247	Plekhm1	-2.962	-1.370
ENSMUSG00000032712	Resf1	-7.303	-1.372
ENSMUSG00000096054	Syne1	-16.649	-1.376
ENSMUSG00000027253	Lrp4	-2.415	-1.377
ENSMUSG00000042349	Ikbke	-4.711	-1.384
ENSMUSG00000022974	Paxbp1	-5.379	-1.388
ENSMUSG00000026305	Lrrfip1	-4.632	-1.398
ENSMUSG00000037679	Inf2	-4.632	-1.398
ENSMUSG00000031659	Adcy7	-5.531	-1.399
ENSMUSG00000020277	Pfkl	-3.422	-1.404
ENSMUSG00000004952	Rasa4	-5.158	-1.405
ENSMUSG00000059796	Eif4a1	-6.055	-1.405
ENSMUSG00000060012	Kif13b	-6.346	-1.410
ENSMUSG00000024937	Ehbp1l1	-5.684	-1.410
ENSMUSG00000000275	Trim25	-4.632	-1.411
ENSMUSG00000030435	U2af2	-2.883	-1.416
ENSMUSG00000034807	Colgalt1	-2.883	-1.416
ENSMUSG00000039959	Hip1	-4.115	-1.430
ENSMUSG00000092341	Malat1	-232.890	-1.430
ENSMUSG00000026289	Atg16l1	-2.734	-1.431
ENSMUSG00000075415	Fnbp1	-6.281	-1.436
ENSMUSG00000028439	Fam219a	-3.038	-1.438
ENSMUSG00000021413	Prpf4b	-8.499	-1.439
ENSMUSG00000017774	Myo1c	-3.578	-1.443
ENSMUSG00000021143	Pacs2	-4.409	-1.449
ENSMUSG00000028465	Tln1	-12.069	-1.451
ENSMUSG00000022564	Grina	-5.095	-1.452
ENSMUSG00000014353	Tmem87b	-2.898	-1.457
ENSMUSG00000001729	Akt1	-2.898	-1.457
ENSMUSG00000026728	Vim	-10.490	-1.463
ENSMUSG00000039318	Rab3gap2	-4.564	-1.464
ENSMUSG00000040033	Stat2	-4.434	-1.479
ENSMUSG00000026944	Abca2	-3.896	-1.480
ENSMUSG00000023022	Lima1	-3.355	-1.481
ENSMUSG00000031729	Ist1	-2.651	-1.483
ENSMUSG00000022529	Zfp263	-2.651	-1.483
ENSMUSG00000027620	Rbm39	-11.717	-1.485
ENSMUSG00000007817	Zmiz1	-6.748	-1.487
ENSMUSG00000034160	Ogt	-7.955	-1.493
ENSMUSG00000038612	Mcl1	-6.906	-1.496
ENSMUSG00000034908	Sidt2	-3.896	-1.498
ENSMUSG00000040459	Arglu1	-8.389	-1.500
ENSMUSG00000050335	Lgals3	-6.101	-1.501
ENSMUSG00000039474	Wfs1	-3.355	-1.503
ENSMUSG00000057649	Brd9	-2.810	-1.508
ENSMUSG00000025743	Sdc3	-2.810	-1.508
ENSMUSG00000027712	Anxa5	-2.810	-1.508
ENSMUSG00000021486	Prelid1	-2.810	-1.508
ENSMUSG00000029816	Gpnmb	-27.732	-1.511
ENSMUSG00000020893	Per1	-5.039	-1.521
ENSMUSG00000074622	Mafb	-3.517	-1.523
ENSMUSG00000032489	Kif9	-3.517	-1.523
ENSMUSG00000063511	Snrnp70	-13.468	-1.527
ENSMUSG00000034422	Parp14	-4.505	-1.527
ENSMUSG00000020422	Tns3	-4.505	-1.527
ENSMUSG00000027575	Arfgap1	-2.972	-1.533
ENSMUSG00000045302	Preb	-2.972	-1.533
ENSMUSG00000019302	Atp6v0a1	-9.027	-1.539
ENSMUSG00000034708	Grn	-4.666	-1.542
ENSMUSG00000022568	Scrib	-3.682	-1.544
ENSMUSG00000020198	Ap3d1	-7.979	-1.549
ENSMUSG00000019254	Ppp1r12c	-3.848	-1.565
ENSMUSG00000011958	Bnip2	-3.848	-1.565
ENSMUSG00000000290	Itgb2	-6.224	-1.578
ENSMUSG00000025366	Esyt1	-6.656	-1.580
ENSMUSG00000030103	Bhlhe40	-3.136	-1.582
ENSMUSG00000039262	Prrc2b	-4.993	-1.588
ENSMUSG00000092837	Rpph1	-7.513	-1.591
ENSMUSG00000073411	H2-D1	-5.159	-1.603
ENSMUSG00000029217	Tec	-3.303	-1.606
ENSMUSG00000031858	Mau2	-3.303	-1.606
ENSMUSG00000020189	Osbpl8	-10.957	-1.606
ENSMUSG00000025854	Fam20c	-3.472	-1.629
ENSMUSG00000015714	Cers2	-3.472	-1.629
ENSMUSG00000006281	Tep1	-3.472	-1.629
ENSMUSG00000034330	Plcg2	-4.791	-1.637
ENSMUSG00000006273	Atp6v1b2	-5.496	-1.647
ENSMUSG00000036908	Unc93b1	-3.643	-1.652
ENSMUSG00000026482	Rgl1	-6.261	-1.679
ENSMUSG00000021281	Tnfaip2	-6.261	-1.679
ENSMUSG00000000628	Hk2	-6.261	-1.679
ENSMUSG00000022353	Mtss1	-15.353	-1.688
ENSMUSG00000032220	Myo1e	-9.147	-1.692
ENSMUSG00000073489	Ifi204	-3.095	-1.693
ENSMUSG00000040565	Btaf1	-3.095	-1.693
ENSMUSG00000026177	Slc11a1	-3.817	-1.697
ENSMUSG00000021250	Fos	-4.596	-1.718
ENSMUSG00000050708	Ftl1	-10.379	-1.723
ENSMUSG00000034116	Vav1	-6.775	-1.729
ENSMUSG00000036833	Pnpla7	-5.479	-1.733
ENSMUSG00000085396	Firre	-4.596	-1.736
ENSMUSG00000017715	Pgs1	-4.170	-1.740
ENSMUSG00000040111	Gramd1b	-8.406	-1.746
ENSMUSG00000092274	Neat1	-104.887	-1.763
ENSMUSG00000015165	Hnrnpl	-7.299	-1.764
ENSMUSG00000021948	Prkcd	-16.330	-1.767
ENSMUSG00000055065	Ddx17	-13.280	-1.769
ENSMUSG00000024737	Slc15a3	-3.449	-1.773
ENSMUSG00000078485	Plekhn1	-3.449	-1.773
ENSMUSG00000000915	Hip1r	-4.350	-1.783
ENSMUSG00000031770	Herpud1	-5.123	-1.789
ENSMUSG00000034707	Gns	-7.654	-1.799
ENSMUSG00000069892	9930111J21Rik2	-6.191	-1.808
ENSMUSG00000023150	Ivns1abp	-9.286	-1.813
ENSMUSG00000024661	Fth1	-14.459	-1.821
ENSMUSG00000021306	Gpr137b	-5.302	-1.823
ENSMUSG00000024474	Ik	-7.131	-1.835
ENSMUSG00000004626	Stxbp2	-6.373	-1.837
ENSMUSG00000112148	Lilrb4a	-6.135	-1.852
ENSMUSG00000029561	Oasl2	-5.665	-1.856
ENSMUSG00000035202	Lars2	-274.797	-1.857
ENSMUSG00000034593	Myo5a	-18.593	-1.861
ENSMUSG00000024393	Prrc2a	-12.733	-1.872
ENSMUSG00000040751	Lat2	-5.849	-1.873
ENSMUSG00000026509	Capn2	-3.997	-1.874
ENSMUSG00000001419	Mef2d	-3.997	-1.874
ENSMUSG00000040712	Camta2	-3.997	-1.874
ENSMUSG00000026796	Fam129b	-7.677	-1.885
ENSMUSG00000034163	Zfc3h1	-14.104	-1.890
ENSMUSG00000037902	Sirpa	-12.040	-1.891
ENSMUSG00000027829	Ccnl1	-9.491	-1.892
ENSMUSG00000035004	Igsf6	-6.608	-1.894
ENSMUSG00000025534	Gusb	-4.954	-1.902
ENSMUSG00000021457	Syk	-10.420	-1.903
ENSMUSG00000019432	Ddx39b	-6.791	-1.907
ENSMUSG00000057110	Cntrl	-7.861	-1.909
ENSMUSG00000028494	Plin2	-8.046	-1.921
ENSMUSG00000110170	St6galnac2	-3.895	-1.922
ENSMUSG00000097971	Gm26917	-288.439	-1.948
ENSMUSG00000074151	Nlrc5	-6.409	-1.952
ENSMUSG00000020437	Myo1g	-8.420	-1.956
ENSMUSG00000047798	Cd300lf	-8.420	-1.956
ENSMUSG00000029098	Acox3	-10.418	-1.958
ENSMUSG00000040061	Plcb2	-6.598	-1.968
ENSMUSG00000024858	Grk2	-5.513	-1.977
ENSMUSG00000030536	Iqgap1	-27.105	-1.988
ENSMUSG00000039456	Morc3	-4.758	-1.991
ENSMUSG00000070327	Rnf213	-22.337	-1.997
ENSMUSG00000027678	Ncoa3	-4.758	-2.013
ENSMUSG00000069045	Ddx3y	-4.758	-2.013
ENSMUSG00000038393	Txnip	-4.758	-2.013
ENSMUSG00000036529	Sbf1	-5.703	-2.013
ENSMUSG00000039218	Srrm2	-49.366	-2.023
ENSMUSG00000018008	Cyth4	-8.103	-2.026
ENSMUSG00000003882	Il7r	-6.832	-2.028
ENSMUSG00000030096	Slc6a6	-6.832	-2.028
ENSMUSG00000024030	Abcg1	-4.953	-2.035
ENSMUSG00000024392	Bag6	-5.149	-2.056
ENSMUSG00000007812	Zfp655	-3.847	-2.070
ENSMUSG00000015243	Abca1	-34.667	-2.078
ENSMUSG00000031540	Kat6a	-8.877	-2.087
ENSMUSG00000038324	Trpc4ap	-4.243	-2.125
ENSMUSG00000072812	Ahnak2	-26.136	-2.129
ENSMUSG00000035545	Leng8	-22.003	-2.131
ENSMUSG00000032596	Uba7	-6.873	-2.132
ENSMUSG00000008348	Ubc	-6.873	-2.132
ENSMUSG00000049723	Mmp12	-9.107	-2.135
ENSMUSG00000071714	Csf2rb2	-7.992	-2.140
ENSMUSG00000032536	Trak1	-4.444	-2.178
ENSMUSG00000001127	Araf	-5.582	-2.179
ENSMUSG00000044165	Bcl2l15	-9.696	-2.181
ENSMUSG00000033335	Dnm2	-12.670	-2.190
ENSMUSG00000034854	Mfsd12	-9.895	-2.192
ENSMUSG00000030047	Arhgap25	-7.104	-2.196
ENSMUSG00000020143	Dock2	-19.475	-2.198
ENSMUSG00000026288	Inpp5d	-8.788	-2.207
ENSMUSG00000061589	Dot1l	-16.554	-2.208
ENSMUSG00000001472	Tcf25	-10.094	-2.215
ENSMUSG00000035697	Arhgap45	-10.094	-2.215
ENSMUSG00000024066	Xdh	-18.453	-2.216
ENSMUSG00000004677	Myo9b	-17.329	-2.218
ENSMUSG00000061175	Fnip2	-19.671	-2.219
ENSMUSG00000024300	Myo1f	-18.717	-2.227
ENSMUSG00000019428	Fkbp8	-4.853	-2.230
ENSMUSG00000019558	Slc6a8	-4.853	-2.230
ENSMUSG00000048677	Tpcn2	-11.796	-2.240
ENSMUSG00000041354	Rgl2	-7.502	-2.242
ENSMUSG00000026437	Cdk18	-9.192	-2.245
ENSMUSG00000002668	Dennd1c	-4.853	-2.255
ENSMUSG00000024960	Plcb3	-4.853	-2.255
ENSMUSG00000029472	Anapc5	-4.853	-2.255
